countryName, CountryCode,Year,OtherSources,InternationalBankers,Waste,Industry,Residential_commercial,Transport ,Agriculture,Forestry,LandUseSources,Energy
Afghanistan,AFG,2010,15339.7,,4361241.1,205671.4,650459.5,169590.9,14332619.5,0,0,746352.9
Africa,,2010,48421911.1,,129316864.7,101301898.1,168745610.1,213737815.7,794508735.6,933875659.9,1805395727,838305076.5
Albania,ALB,2010,33495.9,,319805,672741.1,932389.5,2406013.1,2788231.9,-366666.7,436038.8,1435147.2
Algeria,DZA,2010,469218.3,,5870982.1,12376362.1,14041165.2,33532436.6,9844122.3,-6746666.7,6677.4,94712063.8
American Samoa,ASM,2010,97.2,,9872.9,16415,0.5,0,4596,13581.3,13587.4,0
Americas,,2010,50079765.5,,305522238.9,760087714.3,853381997.6,2361092161,1302315289,802097387.5,2094495369,4749053779
Andorra,AND,2010,,,,,,,0,-38940,,
Angola,AGO,2010,145054.9,,2450438.6,710612.9,3577817.5,5788296,30287011.9,34466666.7,104195853.7,20755194.3
Anguilla,AIA,2010,19.9,,1112.8,17.6,2.3,0,0,52439.7,0,2052.3
Annex I countries,,2010,62853375.6,,527386457.3,1463007831,2027846579,3463377784,1187220024,-1371328936,874145228.1,9307456055
Antigua and Barbuda,ATG,2010,7780.2,,16850.9,74268.2,68525.5,161276.3,22105.5,93438.1,0,150130.6
Argentina,ARG,2010,879692,,8645770.5,9707140.1,35635549.3,38883384,105118775,92400000,134634876.4,105448227.2
Armenia,ARM,2010,25435.8,,350409.9,1143677.7,1425359.8,2760000,1124453.5,124666.7,408955,3562072.5
Aruba,ABW,2010,1882,,21421.3,56660.4,264677,69615.6,0,4004.5,0,2411.5
Asia,,2010,141921654.7,,726914397.1,1911201849,1668527564,1594642038,2258576814,305053311.9,1039307322,13057101532
Australia,AUS,2010,2542182.5,,13424038.5,29026109.7,22580775.2,80607097.2,103812576.2,-3666666.7,225307772.8,357121063.9
Australia & New Zealand,,2010,2670485.4,,14732443,33642590,24949467.7,94926227.7,141572819.8,-22734172.7,231376244.2,372905307.6
Austria,AUT,2010,285408.9,,2627065.4,23735217.7,12602616.6,23999648,6748474.2,-4400000,532569.7,38422346.2
Azerbaijan,AZE,2010,104095.5,,1945583.7,1607563.8,6673443.4,4922771.1,6207736.5,-7464926.6,9183.7,26842869
Bahamas,BHS,2010,71630,,213017.6,434935.5,435458.9,1468603.1,22293.6,4910265.4,28704.7,1999635.2
Bahrain,BHR,2010,78191.1,,238895,2753823.4,252841.5,2870000,47147.5,-4289,0,24550280
Bangladesh,BGD,2010,605504.7,,21766824.4,4094236.7,15086116.1,6050952.8,74722492,-10538000,33446242.6,36287751.6
Barbados,BRB,2010,19811.6,,83352.8,147461,203397.1,357308.6,52455.8,60067.3,1321.1,573774.6
Belarus,BLR,2010,308192.1,,7099883.7,8082052.1,12631559.9,20147048.2,19984314.3,-51553333.3,25167449.2,41284505.9
Belgium,BEL,2010,393239.2,,3243530.7,18462789.7,28891030.8,23339060.1,9080586.8,-2867333.3,253304.2,55499003.1
Belize,BLZ,2010,22614.9,,66038.3,3288.4,110657.2,587213,279535.6,4400000,3002552.8,251921.2
Benin,BEN,2010,377268.5,,1218433.7,754638.8,1674375.5,2270000,4515312.8,10538000,11011236.9,765465.7
Bermuda,BMU,2010,12657.3,,28652.1,4590.2,42160.3,226458.5,3949.6,-399.5,0,266642.5
Bhutan,BTN,2010,96104.3,,212205.2,207994.2,607422.5,90997,510852.3,-2933333.3,37323.6,128898.6
Bolivia,BOL,2010,264807.6,,1517833.2,748623.8,2033652.9,5226712.4,23652732.5,87266666.7,168268852.4,16686141.2
Bosnia and Herzegovina,BIH,2010,101064.6,,387967.5,1844650.8,1330138.3,2831637.1,2482662.9,0,136272.7,22031466.3
Botswana,BWA,2010,38507.9,,362835.7,101561.8,259306,1521520.5,13921985.4,6600000,35791251.3,3208366.4
Brazil,BRA,2010,9411732.1,,66466199,55955997.8,44222690.2,169812263,441213120.2,517902000,877979475.1,244042693.9
British Virgin Islands,VGB,2010,1913.9,,7657.9,243.4,23358.5,47274.1,8208.6,36206.2,1348.3,30787.1
Brunei,BRN,2010,24750.4,,113782.8,535656,43102.7,1170000,129707.2,1466666.7,1890251.2,12479128.5
Bulgaria,BGR,2010,285688.2,,8849002.4,6029062.3,2311097.2,9304247.4,4767371.6,-11366666.7,3649398.7,36078411.4
Burkina Faso,BFA,2010,148906.3,,1604633.6,94863.4,2770319.4,464017.2,18927733.1,1.10E+07,13103072.4,1409240.2
Burundi,BDI,2010,17668,,761890.1,136788.1,2796513.2,181071.6,1770904.7,-5177333.3,3948852.6,701207.8
Cabo Verde,,2010,1904.2,,94238.7,5257.8,62612.8,61126.5,195153.7,-73333.3,0,29036.4
Cambodia,KHM,2010,2398198.1,,2030473.6,36044.5,1888077.1,460124,18762511.3,22733333.3,22165842.1,743410.9
Cameroon,CMR,2010,877961.8,,2355189.7,2119994.4,1336126.5,2225140.4,10190304.2,108533333.3,112478971.4,4581215
Canada,CAN,2010,2676746.1,,35183846.5,58612685.7,90042455.6,174913457.8,56377333.1,105600000,176043997.5,309588708.4
Caribbean,,2010,1341190.8,,11078535,21520643.9,12001483.8,18702864.1,23852634.2,33956693.3,2158605.7,101266818.4
Cayman Islands,CYM,2010,9225.3,,25831.4,3149.4,69803.2,163597.6,4342.6,121088.1,0,157766.9
Central African Republic,CAF,2010,11091740.4,,646845.2,192729.3,392983,162659.2,18708503.4,13200000,7576021.2,434312.9
Central America,,2010,4502574.2,,27635318.3,62638441,41071822.4,170423147.7,113127253.5,88417903.1,106125267.4,316841946.8
Central Asia,,2010,1767616.9,,12989090,23987696,132167950.4,29881932.9,63337883,13126666.7,5545840.9,325790260
Chad,TCD,2010,1595089.4,,1238817.3,42917,741964.2,66252.9,19433726.5,25666666.7,26013728.2,1923723.3
Channel Islands,OWID_CIS,2010,,,,,,,0,-1149.4,,
Chile,CHL,2010,714266.3,,5822901.6,6673810,6224851.9,21524014.5,12015216.1,-7626666.7,8280230.1,51342870.3
China,CHN,2010,72072464.9,,260282076.5,1234587342,671106399.2,520587143.2,709958644.6,-397393333.3,1941205.5,7492561696
"China, Hong Kong SAR",,2010,264105,,2337352.1,751423.8,2207221.6,5321003,52260.7,,0,40164386.3
"China, Macao SAR",,2010,6326.4,,144279,3012.8,124387.1,267707.1,3106.4,,0,841743.6
"China, Taiwan Province of",,2010,1178386.2,,6330549.7,23298120.7,9492296.5,34956849.5,4112043.9,,0,218812234.1
"China, mainland",,2010,70623647.4,,251469895.6,1210534784,659282494,480041583.6,705791233.6,-397393333.3,1941205.5,7232743332
Colombia,COL,2010,1820942.1,,7089395.6,6610164.3,7120911.4,23727825.5,58866042.1,159778666.7,177620308,48929698.1
Comoros,COM,2010,1223.5,,112309.2,6973.1,195324.7,52545,213502.8,73333.3,81353.5,96561
Congo,COG,2010,141144.1,,679253.6,26690.8,284798.9,1355146,1372880.1,7333333.3,12561938.6,6378261.4
Cook Islands,COK,2010,15.8,,584.7,22.7,32.6,0,13595.5,-47792.3,0,16759.6
Costa Rica,CRI,2010,122495.2,,569134.6,749038.9,505706.6,4258710.2,3296303.3,-7700000,71346.8,1918610.2
Cote d'Ivoire,CIV,2010,796100.8,,2090898.1,450274.7,2011368.9,1189457.4,4824237,3666666.7,10919514.5,5975768
Croatia,HRV,2010,124997.9,,1398185.9,4954786.7,3816721.8,6174225.2,2736032.9,-9584666.7,568643.6,11733665.8
Cuba,CUB,2010,393432.8,,2672256,1715527.8,3076006.8,658000,9913670.3,37693333.3,26303.6,36640922.8
Cyprus,CYP,2010,33941.7,,413322.8,1197559,346625.7,1980000,424427.6,-387933.3,14048.7,4580483.6
Czech Republic,CZE,2010,381778.9,,4193225.1,9626340.6,14780131.1,17199462.1,5580531.5,-6966666.7,190481.4,92130296.1
Democratic Republic of Congo,COD,2010,5599321.8,,6846273.4,490544.8,8402217.8,661000,19613509.2,145933333.3,170086875,2039062.7
Denmark,DNK,2010,276333.4,,1542824.4,3723909.9,6608349.5,12628564.2,9645653.4,-733333.3,1829191.3,29321787.4
Djibouti,DJI,2010,23247.4,,141085.8,1831.4,628545.2,224852.6,643745.2,0,0,1112075
Dominica,DMA,2010,6988.7,,20707.7,7288.8,9307.8,97023.1,32191.7,525604.7,89709.4,39272.1
Dominican Republic,DOM,2010,331748.4,,2103455.6,1678485.2,3260739.3,6527069,7852556.7,-8726666.7,4785.9,12070926.3
Eastern Africa,,2010,4393014.9,,35616774.5,7886138.8,37322087.1,21763877.9,300491773.7,309078381,797875262.1,50765920.9
Eastern Asia,,2010,78379583.3,,311976880.4,1421680311,912322623.7,828284711.7,763980397.1,-565326666.7,36052068.3,8760535043
Eastern Europe,,2010,10785567.7,,123516875,269598263.6,370740811.5,394615812.8,205719700.9,-456639333.3,161943338.2,2392099282
Ecuador,ECU,2010,324400.6,,1856098,1856816.3,3415321.9,13265964.8,13898114.6,33733333.3,34421220.6,17034302.5
Egypt,EGY,2010,823140.1,,9451892.8,33298582.6,25590809.3,36458061.5,30061348.5,-218533.3,0,137946635.7
El Salvador,SLV,2010,134444.3,,1115629.5,675964.7,845238.5,2930000,2994974.1,833703.1,772606.3,2673598.1
Equatorial Guinea,GNQ,2010,3758.2,,179535.9,613776.7,97071.9,82110.4,20332.1,5426666.7,5400915.1,4827635.2
Eritrea,ERI,2010,22527.5,,472677.7,46106.3,511352.6,251000,3999679.8,581037.7,1402135.1,622355.2
Estonia,EST,2010,73879.6,,811801.6,968721.2,761331.2,2207817.9,2488231.4,-4612666.7,6762897.4,16668361.3
Ethiopia,ETH,2010,2039680.5,,8846704.2,1039672.4,10829167.1,3180000,88653977.7,12466666.7,27791510,4031821.4
Europe,,2010,24397358,,267537532.1,660031828.2,1024691341,1276000112,572990264.2,-839037060.7,308573718.1,4215319909
European Union,,2010,15616164.2,,171948240.7,424225658.6,742209273.5,944887371.7,409114257.1,-429241266.7,170553810,2180838695
Faeroe Islands,FRO,2010,41.1,,27202,64.6,0,0,24145.2,0,0,0
Falkland Islands,FLK,2010,1121.3,,949.9,267.8,2213.6,18005.7,141815.1,0,0,22264.9
Fiji,FJI,2010,11630.7,,155152.6,91015.4,183902.2,638193.1,870504.9,497196.8,1773518.6,302103.5
Finland,FIN,2010,396301,,6181356,3697064.7,6131204.8,13403011.5,5925009.6,-25813333.3,26129420.7,49810269.8
France,FRA,2010,1559195.8,,17956205.4,50818401.5,97720072,133156480.5,70301983,-60133333.3,13554569.9,167258338.4
French Guiana,GUF,2010,13697.1,,49974.7,26677.8,235470.7,247567.7,63204.1,4400000,4674766.7,511535.3
French Polynesia,PYF,2010,10529.2,,75682.1,4369.1,81426.6,246888.1,36373.8,-2425914,0,281135.9
French Southern and Antarctic Territories,,2010,0,,0,0,0,0,,,,0
Gabon,GAB,2010,100170,,391603.7,134239.9,406720,433000,357017.6,0,413188.9,7034517.1
Gambia,GMB,2010,39370.2,,194040.4,8229.4,83906.6,185599.3,1331678.9,-454666.7,124178.8,176934.6
Georgia,GEO,2010,56050.1,,591852.1,1504288.4,1832124.5,1756885.9,1930251,-3520000,8674.5,3580483.7
Germany,DEU,2010,2221843.2,,15751829.9,70886409.5,153786116.8,157475649.6,59594782.3,-26400000,12499643.9,487180158.7
Ghana,GHA,2010,1994592.4,,3117903.1,957609.8,2912034.1,4559750.7,7953970,-7304000,200755,5552906
Gibraltar,GIB,2010,6258.4,,6983.6,651.6,0,324000,0,0,0,123220.9
Greece,GRC,2010,464098.4,,3455853.5,10259520,10273718.8,21965299.5,7933760.7,-2200000,1508550.9,54117786.7
Greenland,GRL,2010,17.5,,250716.8,2121.1,0,0,4554.2,0,0,0
Grenada,GRD,2010,16056.7,,24408.6,3960.1,382088.2,160933.5,14232.6,-175266.7,0,98025.3
Guadeloupe,GLP,2010,31087.7,,121263.5,107284.5,765141.8,615717.1,136275.8,157574.1,151063.7,654080.8
Guam,GUM,2010,9.7,,68270.4,11812.2,49.8,0,3592.8,0,0,0
Guatemala,GTM,2010,267596.5,,1637084.7,2114823,2465235.2,7159166,8057592.9,15913333.3,13936055.4,4535614.6
Guinea,GIN,2010,2372659.4,,1406630.4,201033.4,1372047.5,435105.7,10567713.6,12466666.7,14168897.4,1219073.7
Guinea-Bissau,GNB,2010,59413.8,,227755.1,7102.9,115138.9,128774.1,1514749.6,1466666.7,1750655.1,116198.2
Guyana,GUY,2010,82788.7,,138904,2156.9,389129,563181.8,1682217,5133333.3,9054730.9,847424.6
Haiti,HTI,2010,54622.4,,1488231.8,234388.1,672666.8,796729.4,3907173.5,161333.3,318252.6,1276685
Honduras,HND,2010,452963.5,,939576.7,778157,696797.9,3350000,5623040.4,27866666.7,28080386.8,3804848.2
Hungary,HUN,2010,216472.1,,3274801.1,6034324.7,13728548.8,12002938.2,6513480.5,-4766666.7,7832341.7,25596044.1
Iceland,ISL,2010,7983.6,,173268.6,2725177.7,607530.7,757795.9,433993.2,-73333.3,0,533662
India,IND,2010,31812701.5,,140083389.7,144860769.6,223673860,151907268,622349396.9,-135666666.7,11865903,1379788207
Indonesia,IDN,2010,2707175.3,,59585006.3,30450168.5,34840457.4,89688882.5,156226540.2,999533333.3,688405513,365186999.6
Iran,IRN,2010,1130585.7,,15278248.9,42251377.6,136975120,2280000,35625398,-3102000,96090.4,287244947.7
Iraq,IRQ,2010,1353126.8,,4630980.4,13865144,10242865,34100000,7621292.3,-1700854.4,1319.2,117550319.1
Ireland,IRL,2010,204283.8,,1081714.9,4113183.9,11034716.9,11987692,19621988.6,-8250000,1659460.7,19073399.3
Isle of Man,IMN,2010,,,,,,,1756.3,-4971.3,,
Israel,ISR,2010,350865.5,,1311699,5361826.9,10954808.4,11241584.4,1279766.1,0,20701.4,47391981.7
Italy,ITA,2010,1559366.1,,18374881,44707558.1,88206645.1,113437485.1,29726827.9,-35200000,915579.8,195891267.7
Jamaica,JAM,2010,161729.4,,559816.3,527486.5,1209552.2,2075563.8,614676.6,132000,917638.1,6045240.8
Japan,JPN,2010,3697679.4,,35454233.1,142333808.1,163073136.5,218503577,21846243.2,-149600000,8574343.3,770839524.3
Jordan,JOR,2010,115707.6,,962148.7,2128610.5,2175209.5,6020229,942208.3,0,0,12597986.1
Kazakhstan,KAZ,2010,1314574,,5811210,13102358.4,66226444.6,12156842,22722175.8,0,1102727.9,188248422.6
Kenya,KEN,2010,307458.4,,4968511.8,1782546.5,4231505,5410722.5,37508062.6,-30800000,283541.3,10538098.6
Kiribati,KIR,2010,180.5,,15461.3,512.9,22915.6,12501.6,7596,-5619.4,0,3211
Kuwait,KWT,2010,335185.6,,932468.5,5717357.7,527608.2,11200000,381425,-41644.4,0,81631903.8
Kyrgyzstan,KGZ,2010,25880.4,,867876.2,782613.8,1961132.3,1117137.6,4027349.9,14446666.7,4186488.1,4030857.5
Land Locked Developing Countries,,2010,21993501.9,,54476857.3,33906183.8,182147608.6,63092111.3,450420227.6,407366904.5,894439929.6,433175651
Laos,LAO,2010,2375634.6,,804987.1,208531.5,993023.9,181610.7,7369417.8,16199333.3,6350711.2,459817.6
Latvia,LVA,2010,101417.3,,647793.9,1779035.2,2171727.3,3337233.1,2934292.3,-17893333.3,8789970.6,4795313.1
Least developed countries,,2010,45004841.8,,104056835.6,18427567.5,94703291.1,55717239.7,765592318.2,730197938,1569376530,152670580.5
Lebanon,LBN,2010,89069.4,,798683.1,2236311.8,656233.7,4180000,619513.7,-53533.3,0,9971464
Lesotho,LSO,2010,7614.4,,245269.3,8516.5,222657.4,118631.6,1475858.8,-36666.7,4224.1,239308.9
Liberia,LBR,2010,66809.7,,453970.6,111445.8,685098.6,211573.6,416142.7,14864666.7,15008012.4,661876.8
Libya,LBY,2010,454156.5,,1245748.6,5436640.3,2297972,13618161.7,2532865.4,0,0,54153120.9
